id,document,summary
1412,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1413,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1414,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1415,John went to the store to buy some groceries.,John bought groceries.
1416,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1417,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1418,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1419,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1420,John went to the store to buy some groceries.,John bought groceries.
1421,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1422,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1423,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1424,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1425,John went to the store to buy some groceries.,John bought groceries.
1426,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1427,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1428,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1429,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1430,John went to the store to buy some groceries.,John bought groceries.
1431,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1432,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1433,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1434,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1435,John went to the store to buy some groceries.,John bought groceries.
1436,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1437,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1438,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1439,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1440,John went to the store to buy some groceries.,John bought groceries.
1441,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1442,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1443,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1444,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1445,John went to the store to buy some groceries.,John bought groceries.
1446,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1447,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1448,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1449,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1450,John went to the store to buy some groceries.,John bought groceries.
1451,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1452,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1453,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1454,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1455,John went to the store to buy some groceries.,John bought groceries.
1456,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1457,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1458,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1459,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1460,John went to the store to buy some groceries.,John bought groceries.
1461,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1462,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1463,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1464,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1465,John went to the store to buy some groceries.,John bought groceries.
1466,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1467,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1468,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1469,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1470,John went to the store to buy some groceries.,John bought groceries.
1471,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1472,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1473,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1474,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1475,John went to the store to buy some groceries.,John bought groceries.
1476,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1477,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1478,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1479,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1480,John went to the store to buy some groceries.,John bought groceries.
1481,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1482,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1483,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1484,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1485,John went to the store to buy some groceries.,John bought groceries.
1486,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1487,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1488,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1489,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1490,John went to the store to buy some groceries.,John bought groceries.
1491,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1492,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1493,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1494,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1495,John went to the store to buy some groceries.,John bought groceries.
1496,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1497,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1498,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1499,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1500,John went to the store to buy some groceries.,John bought groceries.
1501,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1502,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1503,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1504,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1505,John went to the store to buy some groceries.,John bought groceries.
1506,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1507,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1508,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1509,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1510,John went to the store to buy some groceries.,John bought groceries.
1511,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1512,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1513,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1514,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1515,John went to the store to buy some groceries.,John bought groceries.
1516,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1517,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1518,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1519,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1520,John went to the store to buy some groceries.,John bought groceries.
1521,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1522,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1523,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1524,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1525,John went to the store to buy some groceries.,John bought groceries.
1526,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1527,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1528,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1529,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1530,John went to the store to buy some groceries.,John bought groceries.
1531,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1532,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1533,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1534,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1535,John went to the store to buy some groceries.,John bought groceries.
1536,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1537,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1538,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1539,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1540,John went to the store to buy some groceries.,John bought groceries.
1541,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1542,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1543,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1544,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1545,John went to the store to buy some groceries.,John bought groceries.
1546,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1547,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1548,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1549,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1550,John went to the store to buy some groceries.,John bought groceries.
1551,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1552,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1553,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1554,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1555,John went to the store to buy some groceries.,John bought groceries.
1556,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1557,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1558,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1559,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1560,John went to the store to buy some groceries.,John bought groceries.
1561,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1562,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1563,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1564,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1565,John went to the store to buy some groceries.,John bought groceries.
1566,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1567,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1568,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1569,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1570,John went to the store to buy some groceries.,John bought groceries.
1571,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1572,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1573,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1574,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1575,John went to the store to buy some groceries.,John bought groceries.
1576,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1577,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1578,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1579,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1580,John went to the store to buy some groceries.,John bought groceries.
1581,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1582,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1583,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1584,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1585,John went to the store to buy some groceries.,John bought groceries.
1586,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1587,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1588,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1589,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1590,John went to the store to buy some groceries.,John bought groceries.
1591,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1592,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1593,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1594,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1595,John went to the store to buy some groceries.,John bought groceries.
1596,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1597,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1598,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1599,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1600,John went to the store to buy some groceries.,John bought groceries.
1601,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1602,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1603,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1604,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1605,John went to the store to buy some groceries.,John bought groceries.
1606,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1607,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1608,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1609,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1610,John went to the store to buy some groceries.,John bought groceries.
1611,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1612,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1613,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1614,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1615,John went to the store to buy some groceries.,John bought groceries.
1616,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1617,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1618,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1619,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1620,John went to the store to buy some groceries.,John bought groceries.
1621,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1622,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1623,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1624,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1625,John went to the store to buy some groceries.,John bought groceries.
1626,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1627,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1628,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1629,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1630,John went to the store to buy some groceries.,John bought groceries.
1631,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1632,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1633,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1634,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1635,John went to the store to buy some groceries.,John bought groceries.
1636,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1637,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1638,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1639,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1640,John went to the store to buy some groceries.,John bought groceries.
1641,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1642,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1643,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1644,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1645,John went to the store to buy some groceries.,John bought groceries.
1646,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1647,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1648,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1649,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1650,John went to the store to buy some groceries.,John bought groceries.
1651,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1652,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1653,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1654,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1655,John went to the store to buy some groceries.,John bought groceries.
1656,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1657,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1658,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1659,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1660,John went to the store to buy some groceries.,John bought groceries.
1661,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1662,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1663,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1664,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1665,John went to the store to buy some groceries.,John bought groceries.
1666,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1667,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1668,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1669,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1670,John went to the store to buy some groceries.,John bought groceries.
1671,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1672,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1673,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1674,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1675,John went to the store to buy some groceries.,John bought groceries.
1676,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1677,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1678,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1679,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1680,John went to the store to buy some groceries.,John bought groceries.
1681,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1682,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1683,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1684,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1685,John went to the store to buy some groceries.,John bought groceries.
1686,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1687,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1688,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1689,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1690,John went to the store to buy some groceries.,John bought groceries.
1691,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1692,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1693,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1694,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1695,John went to the store to buy some groceries.,John bought groceries.
1696,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1697,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1698,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1699,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1700,John went to the store to buy some groceries.,John bought groceries.
1701,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1702,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1703,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1704,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1705,John went to the store to buy some groceries.,John bought groceries.
1706,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1707,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1708,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1709,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1710,John went to the store to buy some groceries.,John bought groceries.
1711,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1712,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1713,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1714,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1715,John went to the store to buy some groceries.,John bought groceries.
1716,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1717,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1718,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1719,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1720,John went to the store to buy some groceries.,John bought groceries.
1721,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1722,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1723,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1724,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1725,John went to the store to buy some groceries.,John bought groceries.
1726,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1727,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1728,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1729,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1730,John went to the store to buy some groceries.,John bought groceries.
1731,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1732,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1733,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1734,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1735,John went to the store to buy some groceries.,John bought groceries.
1736,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1737,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1738,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1739,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1740,John went to the store to buy some groceries.,John bought groceries.
1741,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1742,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1743,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1744,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1745,John went to the store to buy some groceries.,John bought groceries.
1746,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1747,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1748,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1749,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1750,John went to the store to buy some groceries.,John bought groceries.
1751,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1752,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1753,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1754,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1755,John went to the store to buy some groceries.,John bought groceries.
1756,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1757,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1758,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1759,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1760,John went to the store to buy some groceries.,John bought groceries.
1761,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1762,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1763,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1764,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1765,John went to the store to buy some groceries.,John bought groceries.
1766,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1767,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1768,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1769,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1770,John went to the store to buy some groceries.,John bought groceries.
1771,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1772,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1773,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1774,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1775,John went to the store to buy some groceries.,John bought groceries.
1776,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1777,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1778,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1779,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1780,John went to the store to buy some groceries.,John bought groceries.
1781,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1782,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1783,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1784,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1785,John went to the store to buy some groceries.,John bought groceries.
1786,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1787,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1788,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1789,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1790,John went to the store to buy some groceries.,John bought groceries.
1791,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1792,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1793,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1794,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1795,John went to the store to buy some groceries.,John bought groceries.
1796,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1797,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1798,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1799,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1800,John went to the store to buy some groceries.,John bought groceries.
1801,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1802,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1803,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1804,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1805,John went to the store to buy some groceries.,John bought groceries.
1806,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1807,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1808,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1809,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1810,John went to the store to buy some groceries.,John bought groceries.
1811,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1812,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1813,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1814,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1815,John went to the store to buy some groceries.,John bought groceries.
1816,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1817,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1818,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1819,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1820,John went to the store to buy some groceries.,John bought groceries.
1821,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1822,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1823,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1824,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1825,John went to the store to buy some groceries.,John bought groceries.
1826,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1827,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1828,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1829,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1830,John went to the store to buy some groceries.,John bought groceries.
1831,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1832,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1833,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1834,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1835,John went to the store to buy some groceries.,John bought groceries.
1836,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1837,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1838,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1839,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1840,John went to the store to buy some groceries.,John bought groceries.
1841,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1842,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1843,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1844,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1845,John went to the store to buy some groceries.,John bought groceries.
1846,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1847,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1848,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1849,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1850,John went to the store to buy some groceries.,John bought groceries.
1851,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1852,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1853,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1854,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1855,John went to the store to buy some groceries.,John bought groceries.
1856,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1857,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1858,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1859,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1860,John went to the store to buy some groceries.,John bought groceries.
1861,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1862,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1863,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1864,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1865,John went to the store to buy some groceries.,John bought groceries.
1866,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1867,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1868,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1869,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1870,John went to the store to buy some groceries.,John bought groceries.
1871,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
